                                       C1,,,,,                                       C2,,,,,                                     C3,,,,,                                      C4,,,,
Time(min),set1,set2,set3,Mean,Time(min),set1,set2,set3,Mean,Time(min),set1,set2,set3,Mean,Time(min),set1,Set2,set3,Mean
88,0.485503891,0.557689263,0.317961495,0.453718216,88,0.471612392,0.306880808,0.412482903,0.396992034,88,0.372797672,0.217852035,0.281373636,0.290674448,88,0.468429094,0.281373636,,0.374901365
89,0.47579416,0.554434783,0.350526815,0.460251919,89,0.473558017,0.28501373,0.317585007,0.358718918,89,0.379452,0.235974154,0.339672788,0.318366314,89,0.46518355,0.339672788,,0.402428169
,,,,0.496539847,,,,,0.436379431,,,,,0.330954117,90,0.475559093,0.322368069,,0.398963582
,,,,0.491899609,,,,,0.415189214,,,,,0.324122985,,,,,0.413796539
,,,,0.504234107,,,,,0.417564906,,,,,0.320051176,,,,,0.410165684
,,,,0.500894209,,,,,0.408045238,,,,,0.306835167,,,,,0.413907092
,,,,0.531473209,,,,,0.419353928,,,,,0.319571309,,,,,0.405535095
,,,,0.473785666,,,,,0.401002373,,,,,0.327456631,,,,,0.411754354
,,,,0.484744039,,,,,0.389949895,,,,,0.307439993,,,,,0.424276629
,,,,0.469198111,,,,,0.404157446,,,,,0.355225811,,,,,0.400141948
,,,,0.495858464,,,,,0.39796723,,,,,0.333021354,,,,,0.460610273
,,,,0.513760044,,,,,0.390738131,,,,,0.318975122,,,,,0.424340795
,,,,0.561286455,,,,,0.408339202,,,,,0.326479547,,,,,0.424051429
,,,,0.504069528,,,,,0.409101727,,,,,0.325996051,,,,,0.408947567
,,,,0.481204377,,,,,0.418844193,,,,,0.314370469,,,,,0.426263598
,,,,0.524131033,,,,,0.39640316,,,,,0.302779883,,,,,0.410350386
,,,,0.48311468,,,,,0.373820814,,,,,0.320765653,,,,,0.390236241
,,,,0.511926703,,,,,0.383658285,,,,,0.334073031,,,,,0.410192019
,,,,0.491065471,,,,,0.391059971,,,,,0.32561035,,,,,0.438128767
,,,,0.557864414,,,,,0.389926162,,,,,0.324985496,,,,,0.421289564
,,,,0.505455067,,,,,0.401100694,,,,,0.329964198,,,,,0.421549055
,,,,0.486574952,,,,,0.373470754,,,,,0.315357399,,,,,0.441270239
,,,,0.563624579,,,,,0.382011606,,,,,0.329983071,,,,,0.411960644
,,,,0.612004766,,,,,0.395311258,,,,,0.324359358,,,,,0.418744172
,,,,0.560783036,,,,,0.374806678,,,,,0.309553637,,,,,0.418037421
,,,,0.521232193,,,,,0.388648317,,,,,0.315817043,,,,,0.404630471
,,,,0.536516148,,,,,0.391410953,,,,,0.307021963,,,,,0.418934397
,,,,0.566502765,,,,,0.379028569,,,,,0.301449455,,,,,0.405862324
,,,,0.607241961,,,,,0.372475322,,,,,0.327816081,,,,,0.385863451
,,,,0.553145499,,,,,0.368840207,,,,,0.327892548,,,,,0.420021627
,,,,0.544751309,,,,,0.382800871,,,,,0.317510508,,,,,0.429993927
,,,,0.518189015,,,,,0.376511118,,,,,0.317583548,,,,,0.404442348
,,,,0.608982294,,,,,0.377950848,,,,,0.312593876,,,,,0.40574592
,,,,0.520197961,,,,,0.396803215,,,,,0.30775134,,,,,0.406451093
,,,,0.486373127,,,,,0.373186281,,,,,0.315267202,,,,,0.395891443
,,,,0.496269297,,,,,0.396925272,,,,,0.324226172,,,,,0.407040665
,,,,0.525926492,,,,,0.388408942,,,,,0.304863532,,,,,0.421593268
,,,,0.49118076,,,,,0.389114445,,,,,0.31101961,,,,,0.398796641
,,,,0.505227199,,,,,0.37015429,,,,,0.304606472,,,,,0.38845345
,,,,0.458861054,,,,,0.378896119,,,,,0.324302841,,,,,0.386801048
,,,,0.541632616,,,,,0.374078974,,,,,0.293666427,,,,,0.405008069
,,,,0.474205796,,,,,0.381011416,,,,,0.312283887,,,,,0.386407111
,,,,0.502096817,,,,,0.371655112,,,,,0.315068719,,,,,0.40150034
,,,,0.522353431,,,,,0.402750478,,,,,0.311926161,,,,,0.410635809
,,,,0.587680731,,,,,0.367490752,,,,,0.289300216,,,,,0.393768266
,,,,0.52022994,,,,,0.373758403,,,,,0.291816263,,,,,0.380391416
,,,,0.501679668,,,,,0.415060584,,,,,0.318605753,,,,,0.374353574
,,,,0.487404849,,,,,0.383329136,,,,,0.297375408,,,,,0.415951909
,,,,0.451424654,,,,,0.417979897,,,,,0.293804821,,,,,0.385759648
,,,,0.503738937,,,,,0.36919091,,,,,0.288947462,,,,,0.375373036
,,,,0.4742886,,,,,0.365733706,,,,,0.285807822,,,,,0.366637583
,,,,0.50700819,,,,,0.426298952,,,,,0.316014683,,,,,0.366721811
,,,,0.467767331,,,,,0.365242714,,,,,0.289861102,,,,,0.395846082
,,,,0.496585486,,,,,0.423925958,,,,,0.307144731,,,,,0.37122225
,,,,0.480679614,,,,,0.366680921,,,,,0.298017256,,,,,0.405216901
,,,,0.452805255,,,,,0.426689866,,,,,0.293585376,,,,,0.374919875
,,,,0.620863904,,,,,0.360762406,,,,,0.308214187,,,,,0.36901124
,,,,0.549356329,,,,,0.413952851,,,,,0.295104036,,,,,0.391246
,,,,0.61174565,,,,,0.379230619,,,,,0.301995743,,,,,0.390521146
,,,,0.502228396,,,,,0.401873442,,,,,0.288051851,,,,,0.387520693
,,,,0.44011182,,,,,0.379450479,,,,,0.295301052,,,,,0.367117287
,,,,0.493065612,,,,,0.362109629,,,,,0.292991142,,,,,0.383460002
,,,,0.46657515,,,,,0.372569685,,,,,0.323354589,,,,,0.380086486
,,,,0.504016084,,,,,0.372447443,,,,,0.307098672,,,,,0.413574492
,,,,0.520376871,,,,,0.380139016,,,,,0.293187551,,,,,0.392810813
,,,,0.479859477,,,,,0.38996395,,,,,0.320723787,,,,,0.379998321
,,,,0.487639261,,,,,0.360374186,,,,,0.318454059,,,,,0.408596259
,,,,0.482066735,,,,,0.348516248,,,,,0.286840498,,,,,0.402298298
,,,,0.50976678,,,,,0.371183469,,,,,0.288929828,,,,,0.362132757
,,,,0.485628171,,,,,0.365340674,,,,,0.303336007,,,,,0.379708612
,,,,0.501628864,,,,,0.390453331,,,,,0.295575024,,,,,0.389523495
,,,,0.466271966,,,,,0.371005421,,,,,0.312775927,,,,,0.374886415
,,,,0.478588795,,,,,0.364811729,,,,,0.321516143,,,,,0.398957218
,,,,0.446516155,,,,,0.377388852,,,,,0.28325847,,,,,0.399561315
,,,,0.434015689,,,,,0.379828848,,,,,0.288441584,,,,,0.351067551
,,,,0.447432756,,,,,0.372514729,,,,,0.30526765,,,,,0.387848773
,,,,0.469855285,,,,,0.352454923,,,,,0.302324521,,,,,0.415356018
,,,,0.453576966,,,,,0.359933095,,,,,0.308107841,,,,,0.39500098
,,,,0.489479698,,,,,0.367707579,,,,,0.324316258,,,,,0.411383854
,,,,0.589910341,,,,,0.369673426,,,,,0.300663642,,,,,0.435554848
,,,,0.539569979,,,,,0.349543805,,,,,0.290685033,,,,,0.395866894
,,,,0.488593701,,,,,0.367608055,,,,,0.271023226,,,,,0.377285642
,,,,0.472137798,,,,,0.382266819,,,,,0.306784184,,,,,0.364767611
,,,,0.467317339,,,,,0.362424912,,,,,0.299193397,,,,,0.412156936
,,,,0.49100701,,,,,0.359184613,,,,,0.291803337,,,,,0.38700383
,,,,0.516181572,,,,,0.367729714,,,,,0.289022723,,,,,0.390890867
,,,,0.445856878,,,,,0.347322733,,,,,0.312598027,,,,,0.37409805
,,,,0.506673649,,,,,0.367721203,,,,,0.297760296,,,,,0.409719813
,,,,0.466282707,,,,,0.37161599,,,,,0.288104648,,,,,0.389407066
,,,,0.470118778,,,,,0.352911774,,,,,0.297576998,,,,,0.372753025
,,,,0.453718216,,,,,0.396992034,,,,,0.290674448,,,,,0.392434935
,,,,0.460251919,,,,,0.358718918,,,,,0.318366314,,,,,0.374901365
,,,,0.460251919,,,,,0.367608055,,,,,0.312598027,,,,,0.402428169
,,,,0.460251919,,,,,0.367608055,,,,,0.312598027,,,,,0.398963582
