                                      C1,,,,,,                                       C2,,,,,,                                       C3,,,,,,                                       C4,,Speckle Contrast,,
Time(min),set1,set2,set3,Mean,,Time(min),set1,set2,set3,Mean,,Time(min),set1,set2,set3,Mean,,Time(min),set1,Set2,set3,Mean
68,0.588652478,0.315014636,0.443395307,0.449020807,,68,0.473918789,0.277436185,0.443395307,0.398250094,,68,0.4235,0.146113444,0.327564891,0.299059445,,68,0.347180457,0.327564891,,0.337372674
69,0.543187321,0.244384552,0.442863455,0.410145109,,69,0.454412499,0.240254131,0.442863455,0.379176695,,69,0.4235,0.185220353,0.330010143,0.312910165,,69,0.343919876,0.330010143,,0.336965009
70,0.549810737,0.335076785,0.507643215,0.464176912,,70,0.441136083,0.28640946,0.507643215,0.411729586,,70,0.4235,0.168885838,0.34757478,0.313320206,,70,0.39848753,0.34757478,,0.373031155
71,0.566044918,0.320802601,0.441225465,0.442690995,,71,0.457715029,0.25761193,0.441225465,0.385517475,,71,0.4235,0.150426529,0.299072907,0.290999812,,71,0.335711476,0.299072907,,0.317392192
72,0.575253573,0.290682999,0.402792039,0.422909537,,72,0.440631544,0.252141832,0.402792039,0.365188472,,72,0.4235,0.161746743,0.341758402,0.309001715,,72,0.339536723,0.341758402,,0.340647562
73,0.618881323,0.480554654,0.450218178,0.516551385,,73,0.412395951,0.195124114,0.450218178,0.352579414,,73,0.4235,0.151940612,0.29778743,0.291076014,,73,0.356186334,0.29778743,,0.326986882
74,0.57984832,0.305140401,0.440165981,0.441718234,,74,0.438160772,0.236167267,0.440165981,0.371498007,,74,0.4235,0.201589825,0.326822236,0.31730402,,74,0.348214114,0.326822236,,0.337518175
75,0.548300535,0.324961624,0.46472722,0.44599646,,75,0.462477622,0.275388239,0.46472722,0.40086436,,75,0.4235,0.166057248,0.465739885,0.351765711,,75,0.357235702,0.465739885,,0.411487794
76,0.523338771,0.238853432,0.551040487,0.43774423,,76,0.480928483,0.339009012,0.551040487,0.456992661,,76,0.4235,0.176838693,0.329956579,0.310098424,,76,0.356095002,0.329956579,,0.34302579
77,0.403937997,0.241941694,0.586447498,0.41077573,,77,0.456704288,0.352785169,0.586447498,0.465312318,,77,0.4235,0.158635304,0.32993535,0.304023551,,77,0.376011779,0.32993535,,0.352973565
78,0.47577971,0.284246299,0.463359884,0.407795298,,78,0.46738917,0.306320435,0.463359884,0.412356496,,78,0.4235,0.185179821,0.313848679,0.3075095,,78,0.442746317,0.313848679,,0.378297498
79,0.528969274,0.237155782,0.45072356,0.405616205,,79,0.423895731,0.286732715,0.45072356,0.387117335,,79,0.4235,0.186431655,0.368086182,0.326005946,,79,0.364213608,0.368086182,,0.366149895
80,0.516381346,0.257243875,0.416669166,0.396764796,,80,0.464496145,0.288052289,0.416669166,0.3897392,,80,0.4235,0.190856054,0.455482433,0.356612829,,80,0.403179525,0.455482433,,0.429330979
81,0.516783903,0.25387805,0.524309831,0.431657261,,81,0.412857476,0.215480899,0.524309831,0.384216069,,81,0.4235,0.165376875,0.293567266,0.294148047,,81,0.354086189,0.293567266,,0.323826728
82,0.519929647,0.272433385,0.485720812,0.426027948,,82,0.503386328,0.276942442,0.485720812,0.422016527,,82,0.4235,0.179946335,0.361425124,0.32162382,,82,0.395080344,0.361425124,,0.378252734
83,0.516813885,0.3390591,0.4386077,0.431493562,,83,0.461520068,0.24112933,0.4386077,0.380419033,,83,0.4235,0.158990335,0.323525652,0.302005329,,83,0.37529148,0.323525652,,0.349408566
84,0.451682937,0.285801955,0.451413343,0.396299412,,84,0.342819801,0.219950586,0.451413343,0.338061243,,84,0.4235,0.161768342,0.349379613,0.311549318,,84,0.390239366,0.349379613,,0.369809489
85,0.486149378,0.265916318,0.46352385,0.405196515,,85,0.339245741,0.307296275,0.46352385,0.370021955,,85,0.4235,0.170101187,0.459267287,0.350956158,,85,0.447251934,0.459267287,,0.453259611
86,0.548620791,0.259047203,0.410634758,0.406100917,,86,0.363919893,0.296986125,0.410634758,0.357180259,,86,0.4235,0.192562804,0.344776736,0.320279847,,86,0.3739395,0.344776736,,0.359358118
87,0.507633852,0.468139256,0.387051329,0.454274812,,87,0.360221959,0.243517322,0.387051329,0.330263537,,87,0.4235,0.162327059,0.323958212,0.303261757,,87,0.390276701,0.323958212,,0.357117456
88,0.512642508,0.343579843,0.476667075,0.444296475,,88,0.367334121,0.215270308,0.476667075,0.353090501,,88,0.4235,0.163254217,0.328660726,0.305138314,,88,0.368722031,0.328660726,,0.348691378
89,0.542521236,0.289711908,0.400908804,0.411047316,,89,0.307671765,0.199839523,0.400908804,0.302806697,,89,0.4235,0.167445645,0.309376275,0.300107307,,89,0.418920338,0.309376275,,0.364148306
90,0.53119785,0.324106398,0.449067527,0.434790592,,90,0.404019414,0.248812602,0.449067527,0.367299848,,90,0.433140111,0.179813165,0.370966619,0.327973298,,90,0.375857056,0.36052313,,0.368190093
